Date,Open,High,Low,Close,Adj Close,Volume
2020-12-24,12791.540039,12833.549805,12767.639648,12804.730469,12804.730469,3305960000
2020-12-28,12914.639648,12930.889648,12827.450195,12899.419922,12899.419922,5109140000
2020-12-29,12965.389648,12973.330078,12821.959961,12850.219727,12850.219727,4726920000
2020-12-30,12906.509766,12924.929688,12857.759766,12870.000000,12870.000000,5343010000
2020-12-31,12877.089844,12902.070313,12821.230469,12888.280273,12888.280273,4815840000
2021-01-04,12958.519531,12958.719727,12543.240234,12698.450195,12698.450195,6636170000
2021-01-05,12665.650391,12828.269531,12665.650391,12818.959961,12818.959961,6971860000
2021-01-06,12666.150391,12909.629883,12649.990234,12740.790039,12740.790039,7689880000
2021-01-07,12867.339844,13090.910156,12867.339844,13067.480469,13067.480469,6841480000
2021-01-08,13160.219727,13208.089844,13036.549805,13201.980469,13201.980469,7289390000
2021-01-11,13048.780273,13138.269531,12999.509766,13036.429688,13036.429688,6960470000
2021-01-12,13062.059570,13105.040039,12963.919922,13072.429688,13072.429688,7264070000
2021-01-13,13088.009766,13171.150391,13051.059570,13128.950195,13128.950195,7104810000
2021-01-14,13174.750000,13220.160156,13098.410156,13112.639648,13112.639648,6734100000
2021-01-15,13099.900391,13139.830078,12949.759766,12998.500000,12998.500000,6458360000
2021-01-19,13132.730469,13206.860352,13078.700195,13197.179688,13197.179688,6297860000
2021-01-20,13342.549805,13486.129883,13329.769531,13457.250000,13457.250000,6820990000
2021-01-21,13521.480469,13560.349609,13454.070313,13530.910156,13530.910156,7258640000
2021-01-22,13474.809570,13567.139648,13463.660156,13543.059570,13543.059570,5972750000
2021-01-25,13681.209961,13728.980469,13368.679688,13635.990234,13635.990234,7193710000
2021-01-26,13681.719727,13702.690430,13603.190430,13626.059570,13626.059570,6849600000
2021-01-27,13486.580078,13538.419922,13192.910156,13270.599609,13270.599609,11621190000
2021-01-28,13323.290039,13507.639648,13316.519531,13337.160156,13337.160156,9959270000
2021-01-29,13284.719727,13322.000000,12985.049805,13070.690430,13070.690430,7872250000
